16547516,04/29/2010 03:26:02 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10032,525 WEST 169 STREET,WEST 169 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,,,ADDRESS,NEW YORK,,N/A,Pending,05/29/2010 03:26:02 PM,05/21/2010 04:09:15 AM,12 MANHATTAN,MANHATTAN,1001543,245653,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.840919022450876,-73.93750151244578,"(40.840919022450876, -73.93750151244578)"
16547726,04/29/2010 02:51:59 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10024,320 WEST 90 STREET,WEST 90 STREET,WEST END AVENUE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,N/A,Pending,05/29/2010 02:51:59 PM,05/21/2010 04:09:17 AM,07 MANHATTAN,MANHATTAN,990760,227695,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79164388134214,-73.9764896787735,"(40.79164388134214, -73.9764896787735)"
16547897,04/29/2010 08:32:25 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11385,1881 PALMETTO STREET,PALMETTO STREET,ONDERDONK AVENUE,WOODWARD AVENUE,,,ADDRESS,RIDGEWOOD,,N/A,Pending,05/29/2010 08:32:25 PM,05/21/2010 04:09:22 AM,05 QUEENS,QUEENS,1010287,195917,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70438536450159,-73.90609261381576,"(40.70438536450159, -73.90609261381576)"
16547898,04/29/2010 08:40:24 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11385,1881 PALMETTO STREET,PALMETTO STREET,ONDERDONK AVENUE,WOODWARD AVENUE,,,ADDRESS,RIDGEWOOD,,N/A,Pending,05/29/2010 08:40:24 PM,05/21/2010 04:09:22 AM,05 QUEENS,QUEENS,1010287,195917,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70438536450159,-73.90609261381576,"(40.70438536450159, -73.90609261381576)"
16548270,04/29/2010 02:41:58 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10456,1166 GRAND CONCOURSE,GRAND CONCOURSE,MC CLELLAN STREET,TUDOR PLACE,,,ADDRESS,BRONX,,N/A,Pending,05/29/2010 02:41:58 PM,05/21/2010 04:09:19 AM,04 BRONX,BRONX,1006738,242921,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83340877610034,-73.91873547554994,"(40.83340877610034, -73.91873547554994)"
16548513,04/29/2010 07:31:35 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,10456,953 GRANT AVENUE,GRANT AVENUE,EAST 163 STREET,EAST 164 STREET,,,ADDRESS,BRONX,,N/A,Pending,05/29/2010 07:31:35 PM,05/21/2010 04:09:21 AM,04 BRONX,BRONX,1006878,240946,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.827987612339186,-73.91823622183185,"(40.827987612339186, -73.91823622183185)"
16548732,04/29/2010 12:22:59 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11211,HEWES STREET,HEWES STREET,HARRISON AVENUE,BROADWAY,,,BLOCKFACE,BROOKLYN,,N/A,Pending,05/29/2010 12:22:59 PM,05/21/2010 04:09:20 AM,01 BROOKLYN,BROOKLYN,997182,196642,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70640417533064,-73.95335687979214,"(40.70640417533064, -73.95335687979214)"
16548812,04/29/2010 09:54:05 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11214,8660 19 AVENUE,19 AVENUE,86 STREET,BENSON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,05/29/2010 09:54:05 AM,05/21/2010 04:09:18 AM,11 BROOKLYN,BROOKLYN,983796,159627,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.604815553307624,-74.00163499487208,"(40.604815553307624, -74.00163499487208)"
16549398,04/29/2010 08:42:19 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10301,98 SHERMAN AVENUE,SHERMAN AVENUE,BENZIGER AVENUE,CORSON AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,05/29/2010 08:42:19 AM,05/21/2010 04:09:17 AM,01 STATEN ISLAND,STATEN ISLAND,961809,172053,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6388939125352,-74.08085828852323,"(40.6388939125352, -74.08085828852323)"
16549416,04/29/2010 02:54:25 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10451,512 EAST 163 STREET,EAST 163 STREET,ELTON AVENUE,3 AVENUE,,,ADDRESS,BRONX,,N/A,Pending,05/29/2010 02:54:25 PM,05/21/2010 04:09:19 AM,03 BRONX,BRONX,1009342,239592,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82426461354049,-73.90933789979744,"(40.82426461354049, -73.90933789979744)"
16549805,04/29/2010 01:32:41 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10128,161 EAST 96 STREET,EAST 96 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,N/A,Pending,05/29/2010 01:32:41 PM,05/21/2010 04:09:17 AM,11 MANHATTAN,MANHATTAN,997993,225511,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.785641099681584,-73.95037277603687,"(40.785641099681584, -73.95037277603687)"
16549853,04/29/2010 10:07:25 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10469,2336 GUNTHER AVENUE,GUNTHER AVENUE,ASTOR AVENUE,WARING AVENUE,,,ADDRESS,BRONX,,N/A,Pending,05/29/2010 10:07:25 AM,05/21/2010 04:09:16 AM,11 BRONX,BRONX,1029558,252526,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85968404063967,-73.83620645047593,"(40.85968404063967, -73.83620645047593)"
16549905,04/29/2010 02:15:49 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11385,PUTNAM AVENUE,PUTNAM AVENUE,SENECA AVENUE,ONDERDONK AVENUE,,,BLOCKFACE,RIDGEWOOD,,N/A,Pending,05/29/2010 02:15:49 PM,05/21/2010 04:09:17 AM,05 QUEENS,QUEENS,1010589,195028,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70194437588053,-73.90500687136071,"(40.70194437588053, -73.90500687136071)"
16549909,04/29/2010 01:52:16 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10454,EAST 139 STREET,EAST 139 STREET,BROOK AVENUE,SAINT ANN'S AVENUE,,,BLOCKFACE,BRONX,,N/A,Pending,05/29/2010 01:52:16 PM,05/21/2010 04:09:15 AM,01 BRONX,BRONX,1006975,233621,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.807882305556085,-73.91791052711874,"(40.807882305556085, -73.91791052711874)"
