26043099,07/31/2013 12:00:00 AM,08/02/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10009,406 EAST 9 STREET,EAST 9 STREET,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,N/A,Closed,08/30/2013 01:54:10 PM,08/02/2013 12:00:00 AM,03 MANHATTAN,MANHATTAN,988563,204504,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72799187812608,-73.98443883869197,"(40.72799187812608, -73.98443883869197)"
26043435,07/24/2013 12:00:00 AM,07/29/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10454,536 EAST 142 STREET,EAST 142 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/23/2013 11:51:26 AM,07/29/2013 12:00:00 AM,01 BRONX,BRONX,1007401,234369,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80993425144459,-73.91636910942803,"(40.80993425144459, -73.91636910942803)"
26043884,07/31/2013 12:00:00 AM,07/31/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10028,204 EAST 83 STREET,EAST 83 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,08/30/2013 03:00:35 AM,07/31/2013 03:03:44 AM,08 MANHATTAN,MANHATTAN,996709,222250,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7766924233813,-73.95501546336406,"(40.7766924233813, -73.95501546336406)"
26043914,07/31/2013 12:00:00 AM,08/27/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10027,,,,,FRED DOUGLAS BOULEVARD,WEST 121 STREET,INTERSECTION,NEW YORK,,N/A,Closed,08/30/2013 06:25:14 AM,08/27/2013 12:00:00 AM,10 MANHATTAN,MANHATTAN,997250,233515,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80761102671947,-73.95304032154574,"(40.80761102671947, -73.95304032154574)"
26043933,07/31/2013 12:00:00 AM,08/23/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11215,19 STREET,19 STREET,7 AVENUE,8 AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Closed,08/30/2013 11:00:43 AM,08/23/2013 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,987946,179406,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.659103960486945,-73.98667872497548,"(40.659103960486945, -73.98667872497548)"
26044046,07/31/2013 12:00:00 AM,08/13/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11372,37-30 74 STREET,74 STREET,BEND,37 ROAD,,,ADDRESS,Jackson Heights,,N/A,Closed,08/30/2013 11:30:32 PM,08/13/2013 12:00:00 AM,03 QUEENS,QUEENS,1014261,211848,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74809946485075,-73.89168859628005,"(40.74809946485075, -73.89168859628005)"
26044118,07/31/2013 12:00:00 AM,08/09/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11373,40-40 ELBERTSON STREET,ELBERTSON STREET,BRITTON AVENUE,ELMHURST AVENUE,,,ADDRESS,Elmhurst,,N/A,Closed,08/30/2013 02:18:55 PM,08/09/2013 12:00:00 AM,Unspecified QUEENS,QUEENS,1017909,211622,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.747466019229535,-73.87852390413042,"(40.747466019229535, -73.87852390413042)"
26044157,07/31/2013 12:00:00 AM,08/21/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10012,,,,,BROADWAY,SPRING STREET,INTERSECTION,NEW YORK,,N/A,Closed,08/30/2013 03:28:53 PM,08/21/2013 12:00:00 AM,02 MANHATTAN,MANHATTAN,984579,202693,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72302216843563,-73.99881306740762,"(40.72302216843563, -73.99881306740762)"
26044185,07/31/2013 12:00:00 AM,08/02/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10468,55 EVELYN PLACE,EVELYN PLACE,GRAND AVENUE,AQUEDUCT AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/30/2013 06:00:12 PM,08/02/2013 12:00:00 AM,07 BRONX,BRONX,1010321,252539,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.859797490284876,-73.905750259345,"(40.859797490284876, -73.905750259345)"
26044230,07/31/2013 12:00:00 AM,08/05/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10303,162 VAN PELT AVENUE,VAN PELT AVENUE,HEUSDEN STREET,WALKER STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,08/30/2013 06:30:00 PM,08/05/2013 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,941174,169734,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.632452442558716,-74.15519436623673,"(40.632452442558716, -74.15519436623673)"
