34875418,11/27/2016 12:00:00 AM,12/02/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10014,84 CHRISTOPHER STREET,CHRISTOPHER STREET,7 AVENUE SOUTH,BLEECKER STREET,,,ADDRESS,NEW YORK,,N/A,Closed,12/27/2016 08:45:07 PM,12/02/2016 12:00:00 AM,02 MANHATTAN,MANHATTAN,983180,206493,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7334521828189,-74.00386084093056,"(40.7334521828189, -74.00386084093056)"
34875483,11/27/2016 12:00:00 AM,12/12/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10465,286 BALCOM AVENUE,BALCOM AVENUE,LAWTON AVENUE,MILES AVENUE,,,ADDRESS,BRONX,,N/A,Closed,12/27/2016 12:31:15 PM,12/12/2016 12:00:00 AM,10 BRONX,BRONX,1033242,236760,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81639136010599,-73.82300357236076,"(40.81639136010599, -73.82300357236076)"
34875535,11/27/2016 12:00:00 AM,12/02/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11215,,,,,5 AVENUE,PRESIDENT STREET,INTERSECTION,BROOKLYN,,N/A,Closed,12/27/2016 11:11:17 PM,12/02/2016 12:00:00 AM,06 BROOKLYN,BROOKLYN,989551,185481,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.675777667039114,-73.98088914125927,"(40.675777667039114, -73.98088914125927)"
34875571,11/27/2016 12:00:00 AM,10/18/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10451,888 GRAND CONCOURSE,GRAND CONCOURSE,EAST 159 STREET,EAST 161 STREET,,,ADDRESS,BRONX,,N/A,Pending,12/27/2016 11:33:38 AM,10/18/2016 12:00:00 AM,04 BRONX,BRONX,1005615,240409,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82651684650104,-73.92280164041033,"(40.82651684650104, -73.92280164041033)"
34876508,11/28/2016 12:00:00 AM,12/01/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11236,580 EAST   94 STREET,EAST   94 STREET,LINDEN BOULEVARD,AVENUE A,,,ADDRESS,BROOKLYN,,N/A,Closed,12/28/2016 04:42:55 PM,12/01/2016 12:00:00 AM,17 BROOKLYN,BROOKLYN,1007631,177370,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.653485491159906,-73.91573632367201,"(40.653485491159906, -73.91573632367201)"
34876511,11/28/2016 12:00:00 AM,12/08/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10457,212 EAST  182 STREET,EAST  182 STREET,GRAND CONCOURSE,RYER AVENUE,,,ADDRESS,BRONX,,N/A,Closed,12/28/2016 10:26:38 PM,12/08/2016 12:00:00 AM,05 BRONX,BRONX,1011829,251112,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.855876223273604,-73.90030453728156,"(40.855876223273604, -73.90030453728156)"
34876512,11/28/2016 12:00:00 AM,11/28/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10027,WEST 125 STREET,WEST 125 STREET,7 AVENUE,8 AVENUE,,,BLOCKFACE,NEW YORK,,N/A,Closed,12/28/2016 11:16:16 AM,11/28/2016 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
34876567,11/28/2016 12:00:00 AM,11/01/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10462,2008 WESTCHESTER AVENUE,WESTCHESTER AVENUE,PUGSLEY AVENUE,OLMSTEAD AVENUE,,,ADDRESS,BRONX,,N/A,Pending,12/28/2016 09:56:08 AM,11/01/2016 12:00:00 AM,09 BRONX,BRONX,1023796,243019,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83361784959289,-73.85709276293096,"(40.83361784959289, -73.85709276293096)"
34876568,11/29/2016 12:00:00 AM,12/05/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11249,,,,,WILLIAMSBURG STREET EAST,WYTHE AVENUE,INTERSECTION,BROOKLYN,,N/A,Closed,12/29/2016 12:42:26 AM,12/05/2016 12:00:00 AM,01 BROOKLYN,BROOKLYN,995102,194720,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70113153300768,-73.960862117193,"(40.70113153300768, -73.960862117193)"
34876607,11/28/2016 12:00:00 AM,12/02/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11433,112-21 168 STREET,168 STREET,SAYRES AVENUE,LINDEN BOULEVARD,,,ADDRESS,Jamaica,,N/A,Closed,12/28/2016 11:51:02 AM,12/02/2016 12:00:00 AM,12 QUEENS,QUEENS,1044672,191261,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69143778284006,-73.78211871462092,"(40.69143778284006, -73.78211871462092)"
